Name	Description	URL
Ecoli_K12_W3110	Escherichia coli str. K-12 substr. W3110, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/388476123
Ecoli_KO11FL	Escherichia coli KO11FL chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/386698504
Ecoli_LF82	Escherichia coli LF82, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/222154829
Ecoli_NA114	Escherichia coli NA114 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/386617516
Ecoli_NRG_857C	Escherichia coli O83:H1 str. NRG 857C chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/387615344
Ecoli_P12b	Escherichia coli P12b chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/386703215
Ecoli_REL606	Escherichia coli B str. REL606 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/254160123
Ecoli_RM12579	Escherichia coli O55:H7 str. RM12579 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/387504934
Ecoli_S88	Escherichia coli S88 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/218556939
Ecoli_SE11	Escherichia coli O157:H7 str. Sakai chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/15829254
Ecoli_SE15	Escherichia coli SE11 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/209917191
Ecoli_SMS35	Escherichia coli SE15, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/387828053
Ecoli_Sakai	Escherichia coli SMS-3-5 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/170679574
Ecoli_TW14359	Escherichia coli O157:H7 str. TW14359 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/254791136
Ecoli_UM146	Escherichia coli UM146 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/386602643
Ecoli_UMN026	Escherichia coli UMN026 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/218703261
Ecoli_UMNK88	Escherichia coli UMNK88 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/386612163
Ecoli_UTI89	Escherichia coli UTI89 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/91209055
Ecoli_W	Escherichia coli W chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/386707734
Ecoli_Xuzhou21	Escherichia coli Xuzhou21 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/387880559
Sboydii_CDC_3083_94	Shigella boydii CDC 3083-94 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/187730020
Sboydii_Sb227	Shigella boydii Sb227 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/82542618
Sdysenteriae_Sd197	Shigella dysenteriae Sd197, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/82775382
Sflexneri_2002017	Shigella flexneri 2002017 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/384541581
Sflexneri_2a_2457T	Shigella flexneri 2a str. 2457T, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/30061571
Sflexneri_2a_301	Shigella flexneri 2a str. 301 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/344915202
Sflexneri_5_8401	Shigella flexneri 5 str. 8401 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/110804074
Ssonnei_53G	Shigella sonnei 53G, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/377520096
Ssonnei_Ss046	Shigella sonnei Ss046 chromosome, complete genome	http://www.ncbi.nlm.nih.gov/nuccore/74310614
